Name,League,reference,Age,Pull%,Cent%,Oppo%,GB%,FB%,LD%,IFFB%,HR/FB,Score
Kevin Alcantara,MiLB,Oneil Cruz,21,0.45182724,0.2192691,0.32890365,0.517006802,0.210884353,0.272108843,0.241935483,0.225806451,
Oneil Cruz,MLB,,25,0.42032967,0.32967033,0.25,0.478021978,0.337912087,0.184065934,0.105691056,0.170731707,0.8900627735453309
Coby Mayo,MiLB,Cal Raleigh,22,0.46124031,0.26744186,0.27131783,0.300395256,0.470355731,0.229249011,0.184873949,0.210084033,
Cal Raleigh,MLB,,27,0.4893617,0.29255319,0.21808511,0.311170212,0.518617021,0.170212765,0.128205128,0.174358974,0.9836755978536068
Jace Jung,MiLB,Eugenio Suarez,23,0.49425287,0.22988506,0.27586207,0.375,0.4140625,0.2109375,0.198113207,0.141509433,
Eugenio Suarez,MLB,,32,0.51724138,0.25615764,0.22660099,0.327586206,0.435960591,0.236453201,0.101694915,0.169491525,0.9785252479254223
Dylan Crews,MiLB,Bryce Harper,22,0.38064516,0.26451613,0.35483871,0.421052631,0.338815789,0.240131578,0.184466019,0.126213592,
Bryce Harper,MLB,,31,0.34457831,0.33493976,0.32048193,0.376811594,0.396135265,0.22705314,0.042682926,0.182926829,0.5663322917831923
Agustin Ramirez,MiLB,Orlando Arcia,22,0.48806366,0.23872679,0.27320955,0.475806451,0.327956989,0.196236559,0.262295081,0.204918032,
Orlando Arcia,MLB,,29,0.50348028,0.30858469,0.18793503,0.490697674,0.358139534,0.15116279,0.181818181,0.11038961,0.9547867400848158
Owen Caissie,MiLB,Freddie Freeman,21,0.38557994,0.26332288,0.35109718,0.401273885,0.334394904,0.26433121,0.209523809,0.18095238,
Freddie Freeman,MLB,,34,0.35333333,0.33555556,0.31111111,0.386666666,0.386666666,0.226666666,0.028735632,0.126436781,0.5911730336267289
Edgar Quero,MiLB,Ketel Marte,21,0.50352113,0.22887324,0.26760563,0.464539007,0.301418439,0.234042553,0.082352941,0.188235294,
Ketel Marte,MLB,,30,0.51842752,0.30958231,0.17199017,0.481481481,0.345679012,0.172839506,0.078571428,0.257142857,0.9559824248027535
Angel Genao,MiLB,Josh Bell,20,0.44210526,0.23157895,0.32631579,0.497282608,0.274456521,0.228260869,0.06930693,0.0990099,
Josh Bell,MLB,,31,0.42280285,0.32066508,0.25653207,0.496437054,0.33016627,0.173396674,0.064748201,0.136690647,0.9167129949824779
Moises Ballesteros,MiLB,Freddie Freeman,20,0.40983607,0.26502732,0.32513661,0.391780821,0.353424657,0.25479452,0.178294573,0.147286821,
Freddie Freeman,MLB,,34,0.35333333,0.33555556,0.31111111,0.386666666,0.386666666,0.226666666,0.028735632,0.126436781,0.6101580285406571
Samuel Basallo,MiLB,Orlando Arcia,19,0.43817204,0.26075269,0.30107527,0.456284153,0.303278688,0.240437158,0.306306306,0.171171171,
Orlando Arcia,MLB,,29,0.50348028,0.30858469,0.18793503,0.490697674,0.358139534,0.15116279,0.181818181,0.11038961,0.78556420601489
Colson Montgomery,MiLB,Jose Altuve,22,0.50773994,0.21362229,0.27863777,0.386292834,0.373831775,0.239875389,0.266666666,0.15,
Jose Altuve,MLB,,34,0.55599214,0.30255403,0.14145383,0.419354838,0.334677419,0.245967741,0.078313253,0.120481927,0.887001550458667
James Triantos,MiLB,Trea Turner,21,0.45843829,0.21914358,0.32241814,0.489795918,0.270408163,0.239795918,0.264150943,0.066037735,
Trea Turner,MLB,,31,0.46078431,0.31862745,0.22058824,0.473039215,0.365196078,0.161764705,0.073825503,0.140939597,0.8574900634840943
Harry Ford,MiLB,Eugenio Suarez,21,0.46540881,0.22641509,0.3081761,0.354838709,0.412903225,0.232258064,0.2109375,0.0546875,
Eugenio Suarez,MLB,,32,0.51724138,0.25615764,0.22660099,0.327586206,0.435960591,0.236453201,0.101694915,0.169491525,0.920989782234929
Brady House,MiLB,Jacob Young,21,0.39944134,0.25139665,0.34916201,0.441595441,0.313390313,0.245014245,0.254545454,0.172727272,
Jacob Young,MLB,,24,0.30053191,0.34308511,0.35638298,0.526315789,0.242690058,0.230994152,0.072289156,0.036144578,0.6208840985913443
Carson Williams,MiLB,Eugenio Suarez,21,0.43197279,0.26870748,0.29931973,0.356401384,0.380622837,0.262975778,0.181818181,0.181818181,
Eugenio Suarez,MLB,,32,0.51724138,0.25615764,0.22660099,0.327586206,0.435960591,0.236453201,0.101694915,0.169491525,0.7038078719509139
Jaison Chourio,MiLB,Josh Bell,19,0.43065693,0.19708029,0.37226277,0.492537313,0.272388059,0.235074626,0.123287671,0.06849315,
Josh Bell,MLB,,31,0.42280285,0.32066508,0.25653207,0.496437054,0.33016627,0.173396674,0.064748201,0.136690647,0.8600102491821408
Lazaro Montes,MiLB,Salvador Perez,19,0.44242424,0.30909091,0.24848485,0.333333333,0.410493827,0.256172839,0.127819548,0.157894736,
Salvador Perez,MLB,,34,0.49464668,0.2869379,0.21841542,0.334047109,0.445396145,0.220556745,0.100961538,0.129807692,0.9606385300348419
Jefferson Rojas,MiLB,Lourdes Gurriel Jr.,19,0.41139241,0.23101266,0.35759494,0.358974358,0.407051282,0.233974358,0.236220472,0.047244094,
Lourdes Gurriel Jr.,MLB,,30,0.41726619,0.30695444,0.27577938,0.378896882,0.410071942,0.211031175,0.087719298,0.105263157,0.7135539460054496
Josue De Paula,MiLB,Trea Turner,19,0.43771044,0.24579125,0.31649832,0.453608247,0.357388316,0.189003436,0.076923076,0.096153846,
Trea Turner,MLB,,31,0.46078431,0.31862745,0.22058824,0.473039215,0.365196078,0.161764705,0.073825503,0.140939597,0.8434465613662412
Dalton Rushing,MiLB,Marcell Ozuna,23,0.478125,0.303125,0.21875,0.366242038,0.388535031,0.245222929,0.147540983,0.213114754,
Marcell Ozuna,MLB,,33,0.475,0.32727273,0.19772727,0.379545454,0.384090909,0.236363636,0.053254437,0.23076923,0.9801724067039822
Jacob Melton,MiLB,Jacob Young,23,0.36912752,0.26174497,0.36912752,0.493243243,0.327702702,0.179054054,0.195876288,0.154639175,
Jacob Young,MLB,,24,0.30053191,0.34308511,0.35638298,0.526315789,0.242690058,0.230994152,0.072289156,0.036144578,0.9076948194126188
Ryan Clifford,MiLB,Lourdes Gurriel Jr.,20,0.4265233,0.22580645,0.34767025,0.373188405,0.438405797,0.188405797,0.239669421,0.157024793,
Lourdes Gurriel Jr.,MLB,,30,0.41726619,0.30695444,0.27577938,0.378896882,0.410071942,0.211031175,0.087719298,0.105263157,0.8928654457744694
Cam Collier,MiLB,Pete Alonso,19,0.4379085,0.20588235,0.35620915,0.435215946,0.372093023,0.192691029,0.214285714,0.178571428,
Pete Alonso,MLB,,29,0.42824601,0.30296128,0.26879271,0.4214123,0.4214123,0.157175398,0.102702702,0.183783783,0.6546151637099579
Roman Anthony,MiLB,Josh Bell,20,0.43072289,0.23192771,0.3373494,0.48,0.313846153,0.206153846,0.156862745,0.176470588,
Josh Bell,MLB,,31,0.42280285,0.32066508,0.25653207,0.496437054,0.33016627,0.173396674,0.064748201,0.136690647,0.8905157580388667
Termarr Johnson,MiLB,Jacob Young,20,0.41492537,0.22686567,0.35820896,0.455927051,0.328267477,0.215805471,0.175925925,0.138888888,
Jacob Young,MLB,,24,0.30053191,0.34308511,0.35638298,0.526315789,0.242690058,0.230994152,0.072289156,0.036144578,0.7670370105830174
Justin Crawford,MiLB,Jacob Young,20,0.31536388,0.25067385,0.43396226,0.608938547,0.203910614,0.187150837,0.164383561,0.123287671,
Jacob Young,MLB,,24,0.30053191,0.34308511,0.35638298,0.526315789,0.242690058,0.230994152,0.072289156,0.036144578,0.9039743723643745
Cole Young,MiLB,Bryce Harper,20,0.37692308,0.27948718,0.34358974,0.421052631,0.334210526,0.244736842,0.118110236,0.070866141,
Bryce Harper,MLB,,31,0.34457831,0.33493976,0.32048193,0.376811594,0.396135265,0.22705314,0.042682926,0.182926829,0.626078321560162
Xavier Isaac,MiLB,Jacob Young,20,0.39380531,0.30530973,0.30088496,0.426008968,0.331838565,0.242152466,0.067567567,0.243243243,
Jacob Young,MLB,,24,0.30053191,0.34308511,0.35638298,0.526315789,0.242690058,0.230994152,0.072289156,0.036144578,0.5948877696306241
Alex Freeland,MiLB,Jose Altuve,22,0.45767196,0.25132275,0.29100529,0.404312668,0.358490566,0.237196765,0.195488721,0.135338345,
Jose Altuve,MLB,,34,0.55599214,0.30255403,0.14145383,0.419354838,0.334677419,0.245967741,0.078313253,0.120481927,0.8467100155592099
Druw Jones,MiLB,Jacob Young,20,0.33466135,0.25896414,0.4063745,0.57201646,0.213991769,0.213991769,0.096153846,0.115384615,
Jacob Young,MLB,,24,0.30053191,0.34308511,0.35638298,0.526315789,0.242690058,0.230994152,0.072289156,0.036144578,0.9007433332430295
Ethan Salas,MiLB,Marcus Semien,18,0.51713396,0.21806854,0.26479751,0.401253918,0.40752351,0.19122257,0.269230769,0.03076923,
Marcus Semien,MLB,,33,0.503663,0.29304029,0.2032967,0.395604395,0.424908424,0.179487179,0.137931034,0.099137931,0.9516275105619755
Sebastian Walcott,MiLB,Jose Altuve,18,0.52453988,0.23619632,0.2392638,0.421383647,0.333333333,0.245283018,0.37735849,0.103773584,
Jose Altuve,MLB,,34,0.55599214,0.30255403,0.14145383,0.419354838,0.334677419,0.245967741,0.078313253,0.120481927,0.9457711308241797
Franklin Arias,MiLB,Orlando Arcia,18,0.47410359,0.21912351,0.30677291,0.462809917,0.363636363,0.173553719,0.181818181,0.102272727,
Orlando Arcia,MLB,,29,0.50348028,0.30858469,0.18793503,0.490697674,0.358139534,0.15116279,0.181818181,0.11038961,0.9225149606317028
Aidan Miller,MiLB,Jose Altuve,20,0.46959459,0.22635135,0.30405405,0.415224913,0.380622837,0.204152249,0.3,0.1,
Jose Altuve,MLB,,34,0.55599214,0.30255403,0.14145383,0.419354838,0.334677419,0.245967741,0.078313253,0.120481927,0.8317186404149369
Luke Keaschall,MiLB,Eugenio Suarez,21,0.52302632,0.23355263,0.24342105,0.34006734,0.417508417,0.242424242,0.193548387,0.120967741,
Eugenio Suarez,MLB,,32,0.51724138,0.25615764,0.22660099,0.327586206,0.435960591,0.236453201,0.101694915,0.169491525,0.9822915101903922
Matt Shaw,MiLB,Bryce Harper,22,0.36158192,0.2259887,0.41242938,0.43465909,0.369318181,0.196022727,0.2,0.161538461,
Bryce Harper,MLB,,31,0.34457831,0.33493976,0.32048193,0.376811594,0.396135265,0.22705314,0.042682926,0.182926829,0.5330887629040467
Max Clark,MiLB,Trea Turner,19,0.44879518,0.21385542,0.3373494,0.481481481,0.271604938,0.24691358,0.21590909,0.102272727,
Trea Turner,MLB,,31,0.46078431,0.31862745,0.22058824,0.473039215,0.365196078,0.161764705,0.073825503,0.140939597,0.8176750307408814
Blake Mitchell,MiLB,Daulton Varsho,19,0.448,0.232,0.32,0.337349397,0.421686746,0.240963855,0.219047619,0.171428571,
Daulton Varsho,MLB,,27,0.5154321,0.25308642,0.23148148,0.32165605,0.52866242,0.149681528,0.174698795,0.108433734,0.8967133413856242
Bryce Eldridge,MiLB,Logan O'Hoppe,19,0.41486068,0.32198142,0.26315789,0.389937106,0.355345911,0.254716981,0.10619469,0.203539823,
Logan O'Hoppe,MLB,,24,0.44478528,0.33435583,0.2208589,0.378461538,0.378461538,0.243076923,0.081300813,0.162601626,0.7760666723681285
Cooper Pratt,MiLB,Jose Altuve,19,0.45054945,0.24542125,0.3040293,0.414179104,0.283582089,0.302238805,0.184210526,0.105263157,
Jose Altuve,MLB,,34,0.55599214,0.30255403,0.14145383,0.419354838,0.334677419,0.245967741,0.078313253,0.120481927,0.7538420947726662
Kyle Teel,MiLB,Jose Altuve,22,0.44936709,0.2278481,0.32278481,0.416666666,0.346153846,0.237179487,0.157407407,0.12037037,
Jose Altuve,MLB,,34,0.55599214,0.30255403,0.14145383,0.419354838,0.334677419,0.245967741,0.078313253,0.120481927,0.7467192909316615
Brayden Taylor,MiLB,Willy Adames,22,0.44791667,0.29861111,0.25347222,0.26056338,0.492957746,0.246478873,0.178571428,0.142857142,
Willy Adames,MLB,,28,0.45227273,0.33636364,0.21136364,0.313636363,0.497727272,0.188636363,0.114155251,0.146118721,0.9857986474759531
Kristian Campbell,MiLB,Jacob Young,22,0.3897281,0.24169184,0.36858006,0.43260188,0.272727272,0.294670846,0.172413793,0.229885057,
Jacob Young,MLB,,24,0.30053191,0.34308511,0.35638298,0.526315789,0.242690058,0.230994152,0.072289156,0.036144578,0.5278909622554879
Ralphy Velazquez,MiLB,Lourdes Gurriel Jr.,19,0.41034483,0.22413793,0.36551724,0.367491166,0.392226148,0.240282685,0.18018018,0.099099099,
Lourdes Gurriel Jr.,MLB,,30,0.41726619,0.30695444,0.27577938,0.378896882,0.410071942,0.211031175,0.087719298,0.105263157,0.5064005608285439
Leodalis De Vries,MiLB,Daulton Varsho,17,0.49541284,0.2293578,0.27522936,0.323943661,0.492957746,0.183098591,0.161904761,0.104761904,
Daulton Varsho,MLB,,27,0.5154321,0.25308642,0.23148148,0.32165605,0.52866242,0.149681528,0.174698795,0.108433734,0.9950552903511836
