,Name,League,reference,ISO,Spd,wRC+,OBP,wOBA,Score,ISO_Percentile,Spd_Percentile,wRC+_Percentile,OBP_Percentile,wOBA_Percentile
0,Kevin Alcantara,MiLB,Jose Altuve,0.149643706,4.146618536630349,123.7926195556994,0.353065539,0.3596277371773508,,40.23904382470119,47.808764940239044,83.26693227091634,87.64940239043824,89.64143426294821
1,Jose Altuve,MLB,,0.144904458,4.423971485211609,127.47955141816854,0.350439882,0.344237520589548,0.9398854385121691,35.85657370517929,54.581673306772906,84.86055776892431,87.25099601593625,84.4621513944223
2,Coby Mayo,MiLB,Rafael Devers,0.298882681,4.3388410819350165,144.99452027193092,0.371921182,0.4127994740363395,,99.20318725099602,52.191235059760956,95.2191235059761,93.62549800796812,98.80478087649402
3,Rafael Devers,MLB,,0.243809524,4.667390642477455,134.05972820492894,0.354409317,0.3640278328013379,0.9856828607887422,94.42231075697211,58.964143426294825,90.0398406374502,88.84462151394422,91.23505976095618
4,Jace Jung,MiLB,Bryan Reynolds,0.203438395,3.0484238955642287,121.5262825868176,0.379953379,0.3764845438492604,,78.48605577689243,27.490039840637447,81.67330677290838,96.01593625498009,94.82071713147411
5,Bryan Reynolds,MLB,,0.172025723,4.17227248054702,117.77041804655428,0.343930635,0.3427446141990418,0.9500477927203922,60.95617529880478,48.20717131474104,74.9003984063745,84.06374501992032,83.26693227091634
6,Dylan Crews,MiLB,Elly De La Cruz,0.181360202,7.677887681872018,114.65667770647067,0.341517857,0.3541728428431919,,65.73705179282868,96.41434262948208,68.52589641434263,81.67330677290838,87.25099601593625
7,Elly De La Cruz,MLB,,0.21197411,8.693407955542142,117.85621503824532,0.338616714,0.3486482402837345,0.964212158170519,84.4621513944223,100.0,75.2988047808765,80.0796812749004,86.05577689243027
8,Agustin Ramirez,MiLB,Bobby Witt Jr.,0.220588235,5.809713686670768,130.2318660956012,0.357664233,0.3777060257015542,,89.2430278884462,78.48605577689243,87.25099601593625,90.43824701195219,94.82071713147411
9,Bobby Witt Jr.,MLB,,0.256289308,7.2023241576855455,167.5403466440698,0.389280677,0.4097383537462779,0.9791265198829504,96.41434262948208,95.61752988047809,98.40637450199203,97.60956175298804,98.80478087649402
10,Owen Caissie,MiLB,William Contreras,0.194915255,4.922176116354584,121.0880946803621,0.375227686,0.3759434138025556,,73.70517928286853,63.745019920318725,81.67330677290838,94.82071713147411,94.82071713147411
11,William Contreras,MLB,,0.18487395,4.415599497166965,130.742438133437,0.365243004,0.3587271837346278,0.9386045129124155,67.52988047808765,53.38645418326693,87.64940239043824,92.43027888446214,89.2430278884462
12,Edgar Quero,MiLB,Trevor Larnach,0.182857142,1.4088525907649665,138.5121212632025,0.365671641,0.3807323487540383,,66.13545816733067,4.382470119521913,92.43027888446214,92.82868525896414,95.2191235059761
13,Trevor Larnach,MLB,,0.174647887,3.6274713325757273,120.71902767631956,0.3375,0.3358623249488964,0.9612755918989071,62.15139442231076,39.04382470119522,81.27490039840637,78.48605577689243,75.2988047808765
14,Angel Genao,MiLB,Trea Turner,0.169265034,6.605981262598932,150.39195010150613,0.379032258,0.404600527551439,,58.964143426294825,90.0398406374502,95.2191235059761,95.61752988047809,98.40637450199203
15,Trea Turner,MLB,,0.174257426,5.2825283821312405,124.02274788085492,0.337662337,0.3490665514084315,0.9744800808829585,61.75298804780876,69.7211155378486,83.66533864541833,78.88446215139442,86.45418326693228
16,Moises Ballesteros,MiLB,Alec Bohm,0.182819383,2.060320197051272,126.76608282074424,0.354330708,0.3710276406897596,,66.13545816733067,10.756972111553784,84.06374501992032,88.04780876494024,94.82071713147411
17,Alec Bohm,MLB,,0.167870036,3.42681256860347,114.74280641935762,0.331683168,0.3352790382129467,0.936212920151421,58.16733067729084,34.66135458167331,69.32270916334662,73.30677290836654,74.5019920318725
18,Samuel Basallo,MiLB,Vladimir Guerrero Jr.,0.171189979,3.464449095599103,122.01597358395148,0.34086629,0.3562002565500871,,60.55776892430279,34.66135458167331,82.86852589641434,80.87649402390437,88.04780876494024
