rank,team,age,teamId,full_name,playerId,atBats,runs,hits,doubles,triples,homeRuns,obp,ops,slg,rbi,baseOnBalls,strikeOuts,stolenBases,caughtStealing,leftOnBase,totalBases,avg,position,sportAbbrev
1,was,22,,Dylan Crews,686611,516,72,133,26,7,16,.329,.757,.428,76,47,118,37,8,234,221,.258,RF,ALL (3)
2,min,19,,Walker Jenkins,805805,305,51,86,22,4,6,.394,.833,.439,58,56,47,17,3,125,134,.282,OF,ALL (4)
3,bos,20,,Roman Anthony,701350,454,93,132,32,4,18,.396,.894,.498,65,79,127,21,7,152,226,.291,CF,ALL (2)
4,tb,21,,Carson Williams,700246,433,83,111,20,6,20,.352,.821,.469,69,58,144,33,11,171,203,.256,SS,AA
6,det,20,,Max Clark,703601,420,75,117,21,6,9,.372,.793,.421,75,61,94,29,4,169,177,.279,OF,ALL (2)
7,bos,22,,Marcelo Mayer,691785,300,60,92,28,0,8,.370,.850,.480,38,30,66,13,2,125,144,.307,SS,AA
8,bal,23,,Coby Mayo,691723,399,69,109,26,3,25,.354,.895,.541,73,46,124,4,4,184,216,.273,3B,ALL (3)
9,ari,22,,Jordan Lawlar,691783,85,13,27,6,1,2,.417,.899,.482,20,14,23,6,2,39,41,.318,SS,ALL (3)
10,bos,22,,Kristian Campbell,692225,430,94,142,32,3,20,.439,.997,.558,77,74,103,24,8,193,240,.330,OF,ALL (3)
11,col,21,,Charlie Condon,809707,100,6,18,4,1,1,.248,.518,.270,11,4,34,4,0,46,27,.180,OF,A+
12,cle,22,,Travis Bazzana,683953,101,20,24,7,0,3,.369,.765,.396,12,17,31,5,0,41,40,.238,2B,A+
13,bal,20,,Samuel Basallo,694212,479,68,133,25,0,19,.341,.790,.449,65,46,112,10,5,209,215,.278,C,ALL (2)
14,nyy,21,,Jasson Dominguez,691176,282,51,81,9,1,13,.363,.828,.465,39,33,69,21,1,119,131,.287,LF,ALL (4)
17,kc,21,,Jac Caglianone,695506,116,13,28,9,1,2,.302,.690,.388,14,7,26,2,0,61,45,.241,1B,A+
18,stl,22,,JJ Wetherholt,802139,105,18,31,5,0,2,.405,.805,.400,20,16,15,2,0,61,42,.295,SS,A
19,sd,18,,Ethan Salas,806956,412,38,85,27,2,4,.288,.599,.311,53,47,98,10,3,172,128,.206,C,A+
22,chc,23,,Matt Shaw,807713,443,78,126,19,4,21,.379,.867,.488,71,62,95,31,11,177,216,.284,2B,ALL (2)
23,tex,18,,Sebastian Walcott,806964,456,64,121,34,9,11,.344,.796,.452,56,53,132,27,8,169,206,.265,SS,ALL (2)
24,oak,22,,Jacob Wilson,805779,300,59,113,30,2,7,.424,.984,.560,42,22,25,2,1,98,168,.377,SS,ALL (4)
25,cws,22,,Kyle Teel,691019,427,88,123,23,0,13,.386,.819,.433,78,68,116,12,5,207,185,.288,C,ALL (2)
26,phi,20,,Aidan Miller,805795,395,64,103,28,6,11,.366,.812,.446,60,56,100,23,5,174,176,.261,SS,ALL (3)
27,sea,19,,Colt Emerson,806068,274,56,72,17,1,4,.393,.769,.376,37,50,58,15,2,115,103,.263,SS,ALL (3)
28,sd,18,,Leodalis De Vries,815888,299,63,71,22,3,11,.361,.802,.441,38,50,84,13,2,117,132,.237,SS,A
29,min,21,,Emmanuel Rodriguez,691181,157,47,44,14,2,9,.459,1.026,.567,27,51,62,9,3,75,89,.280,CF,ALL (4)
31,det,20,,Kevin McGonigle,805808,272,49,84,16,4,5,.401,.853,.452,44,46,28,22,2,97,123,.309,SS,ALL (2)
34,chc,22,,Owen Caissie,683357,472,69,131,29,3,19,.375,.847,.472,75,71,156,11,2,206,223,.278,RF,AAA
35,sf,20,,Bryce Eldridge,805811,446,76,130,27,2,23,.374,.890,.516,92,59,132,6,0,205,230,.291,OF,ALL (4)
36,tb,21,,Xavier Isaac,800060,367,65,97,21,2,18,.370,.850,.480,78,58,145,15,3,187,176,.264,1B,ALL (2)
37,cws,22,,Colson Montgomery,695657,485,66,104,21,3,18,.329,.710,.381,63,69,164,8,2,220,185,.214,SS,AAA
38,sea,21,,Cole Young,702284,469,67,127,25,2,9,.369,.759,.390,57,67,87,23,11,199,183,.271,SS,AA
39,la,23,,Dalton Rushing,687221,420,69,114,21,1,26,.384,.896,.512,85,64,103,2,3,204,215,.271,C,ALL (2)
41,cle,23,,Chase DeLauter,800050,142,25,37,10,0,8,.341,.841,.500,24,19,22,1,1,80,71,.261,RF,ALL (3)
44,chc,21,,Moises Ballesteros,694208,454,57,131,24,1,19,.354,.825,.471,78,45,93,1,1,195,214,.289,C,ALL (2)
45,oak,21,,Nick Kurtz,701762,38,14,14,3,0,4,.520,1.283,.763,13,12,10,1,0,14,29,.368,1B,ALL (2)
47,sea,20,,Lazaro Montes,703155,448,82,129,21,2,21,.397,.881,.484,105,78,128,5,3,253,217,.288,OF,ALL (2)
48,la,19,,Josue De Paula,800543,385,69,103,17,3,10,.404,.809,.405,62,84,95,27,3,163,156,.268,RF,ALL (2)
49,sea,21,,Harry Ford,695670,430,72,107,26,2,7,.377,.744,.367,45,74,115,35,9,167,158,.249,C,AA
51,kc,20,,Blake Mitchell,805810,396,66,92,16,3,18,.368,.792,.424,51,80,149,26,7,154,168,.232,C,ALL (2)
52,nym,21,,Jett Williams,702518,121,22,26,8,1,0,.358,.656,.298,4,22,35,5,3,53,36,.215,SS,ALL (3)
53,phi,21,,Justin Crawford,702222,457,79,143,25,4,9,.360,.804,.444,61,32,93,42,9,152,203,.313,CF,ALL (2)
55,chc,22,,James Triantos,701649,443,75,133,23,6,7,.346,.773,.427,52,27,54,47,9,202,189,.300,3B,ALL (2)
57,mil,20,,Cooper Pratt,806198,347,56,96,15,3,8,.362,.768,.406,45,42,81,27,3,167,141,.277,SS,ALL (2)
59,cws,21,,Edgar Quero,700337,350,41,98,16,0,16,.366,.829,.463,70,39,70,1,1,166,162,.280,C,ALL (2)
60,tb,22,,Brayden Taylor,694966,424,88,106,27,8,20,.365,.858,.493,62,76,141,29,7,165,209,.250,SS,ALL (2)
62,det,24,,Jace Jung,690291,428,67,109,29,1,15,.377,.809,.432,66,86,124,3,3,225,185,.255,3B,ALL (3)
63,min,22,,Luke Keaschall,807712,379,80,115,21,1,15,.420,.903,.483,48,62,80,23,6,99,183,.303,2B,ALL (2)
