,Name,League,reference,ISO,Spd,wRC+,OBP,wOBA,Score
0,Kevin Alcantara,MiLB,Jose Altuve,0.149643706,4.146618536630349,123.7926195556994,0.353065539,0.3596277371773508,
1,Jose Altuve,MLB,,0.144904458,4.42397148521161,127.479551418169,0.350439882,0.344237520589548,0.8647790159523102
2,Coby Mayo,MiLB,Ketel Marte,0.298882681,4.3388410819350165,144.99452027193092,0.371921182,0.4127994740363395,
3,Ketel Marte,MLB,,0.267857143,4.32048319467056,151.201317150416,0.372212692,0.390999548033708,0.9786718576559924
4,Jace Jung,MiLB,Marcell Ozuna,0.203438395,3.0484238955642287,121.5262825868176,0.379953379,0.3764845438492604,
5,Marcell Ozuna,MLB,,0.244224422,1.72972263103522,154.000632868355,0.378457059,0.394502133348562,0.8668228242721183
6,Dylan Crews,MiLB,Elly De La Cruz,0.181360202,7.677887681872018,114.65667770647067,0.341517857,0.3541728428431919,
7,Elly De La Cruz,MLB,,0.21197411,8.69340795554214,117.856215038245,0.338616714,0.348648240283735,0.9513217005387117
8,Agustin Ramirez,MiLB,Shohei Ohtani,0.220588235,5.809713686670768,130.2318660956012,0.357664233,0.3777060257015542,
9,Shohei Ohtani,MLB,,0.336477988,8.10565516053483,181.154144395014,0.39010989,0.430549291764129,0.9699466509383422
10,Owen Caissie,MiLB,William Contreras,0.194915255,4.922176116354584,121.0880946803621,0.375227686,0.3759434138025556,
11,William Contreras,MLB,,0.18487395,4.41559949716697,130.742438133437,0.365243004,0.358727183734628,0.8579553323851262
12,Edgar Quero,MiLB,Marcell Ozuna,0.182857142,1.4088525907649665,138.5121212632025,0.365671641,0.3807323487540383,
13,Marcell Ozuna,MLB,,0.244224422,1.72972263103522,154.000632868355,0.378457059,0.394502133348562,0.8859197930242494
14,Angel Genao,MiLB,Mookie Betts,0.169265034,6.605981262598932,150.39195010150613,0.379032258,0.404600527551439,
15,Mookie Betts,MLB,,0.202222223,6.29459203048492,141.052491432997,0.372093023,0.370968951557397,0.912945971786309
16,Moises Ballesteros,MiLB,Corey Seager,0.182819383,2.060320197051272,126.76608282074424,0.354330708,0.3710276406897596,
17,Corey Seager,MLB,,0.233684211,1.57334834224921,140.319807806903,0.35272045,0.364663478286787,0.8612466170834407
18,Samuel Basallo,MiLB,Bryan Reynolds,0.171189979,3.464449095599103,122.01597358395148,0.34086629,0.3562002565500871,
19,Bryan Reynolds,MLB,,0.172025723,4.17227248054702,117.770418046554,0.343930635,0.342744614199042,0.8126623079709036
20,Colson Montgomery,MiLB,Jesus Sanchez,0.167010309,4.803150502828277,87.92412851017333,0.328671328,0.3241630448142618,
21,Jesus Sanchez,MLB,,0.165644172,4.90634929313419,100.379638690193,0.313432835,0.316958939314782,0.8611292637892187
22,James Triantos,MiLB,Trea Turner,0.126410835,8.310828628704531,123.22926356968829,0.346391752,0.3549518086246608,
23,Trea Turner,MLB,,0.174257426,5.28252838213124,124.022747880855,0.337662337,0.349066551408432,0.7650303347669758
24,Harry Ford,MiLB,Steven Kwan,0.118604651,6.424250254272095,118.61515717919784,0.377394636,0.3546400643399849,
25,Steven Kwan,MLB,,0.133333334,5.10286759941157,130.843281705928,0.368029739,0.349448609418585,0.8734399312902723
26,Brady House,MiLB,Bryan De La Cruz,0.16064257,4.058713726969289,91.24316818691253,0.29704797,0.3155054843733671,
27,Bryan De La Cruz,MLB,,0.150684931,2.82159314049022,77.3126260245172,0.2705314,0.282601914002049,0.9826903491346939
28,Carson Williams,MiLB,Jarren Duran,0.212471131,8.213902570486926,142.0645829378028,0.352475247,0.3779513979005435,
29,Jarren Duran,MLB,,0.207153502,7.98266239567707,129.022926671139,0.341961852,0.356867390228651,0.9527599940975336
30,Jaison Chourio,MiLB,Steven Kwan,0.128742515,6.757862931175604,143.89124389832438,0.414351851,0.3952714905937973,
31,Steven Kwan,MLB,,0.133333334,5.10286759941157,130.843281705928,0.368029739,0.349448609418585,0.874090902984682
32,Lazaro Montes,MiLB,William Contreras,0.196428572,3.907356326546875,138.0408508946692,0.396678966,0.4045860227820598,
33,William Contreras,MLB,,0.18487395,4.41559949716697,130.742438133437,0.365243004,0.358727183734628,0.9549393219134875
34,Jefferson Rojas,MiLB,Jacob Young,0.09139785,6.027229866630629,87.7327491648225,0.310262529,0.3052543350506512,
35,Jacob Young,MLB,,0.074786325,6.68388386426377,84.9560611808486,0.31640625,0.289607538841665,0.9887144005569669
36,Josue De Paula,MiLB,Steven Kwan,0.137662338,6.648075314317362,130.3050325878217,0.404166666,0.3876122748926437,
